Topic,Grade,Original Question,Is Updated,Updated,Time Taken
High Level Addition,7,"Question: Sam has 1,345 apples and Jenny has 2,687 apples. How many apples do they have together?
Options:
A. 3,923
B. 4,032
C. 4,123
D. 4,219
Answer: B",False,,25.89669680595398
High Level Addition,7,"Question: What is the sum of 489 and 536?
Options:
A. 1025
B. 1024
C. 1015
D. 1100
Answer: A",False,,20.534271001815796
High Level Addition,7,"Question: What is the sum of 875 + 326?
Options:
A. 1201
B. 1100
C. 1191
D. 1301
Answer: A",False,,27.219828128814697
High Level Addition,7,"Question: What is the sum of 732 and 985?
Options:
A. 1,707
B. 1,814
C. 1,717
D. 1,699
Answer: C",False,,6.909250020980835
High Level Addition,7,"Question: What is the sum of 356 + 475?
Options:
A. 821
B. 831
C. 850
D. 635
Answer: B",False,,7.1671552658081055
High Level Addition,7,"Question: Kevin has 6 two-digit numbers to add: 15, 27, 34, 22, 58, and 31. Which of the following is closest to the total sum?
Options:
A. 150
B. 175
C. 200
D. 225
Answer: C",True,"Question: Kevin has 6 two-digit numbers to add: 15, 27, 34, 22, 58, and 31. Which of the following is closest to the total sum?
Options:
A. 150
B. 175
C. 200
D. 225
Answer: B",32.40459227561951
High Level Addition,7,"Question: What is the sum of 184 and 239?
Options:
A. 413
B. 424
C. 431
D. 423
Answer: A",False,,20.555968046188354
High Level Addition,7,"Question: What is the sum of 198 and 249?
Options:
A. 337
B. 447
C. 457
D. 467
Answer: D",True,"Question: What is the sum of 198 and 249?
Options:
A. 337
B. 447
C. 457
D. 467
Answer: B",27.751641035079956
High Level Addition,7,"Question: Add 876 and 345:
Options:
A. 1,211
B. 1,221
C. 1,200
D. 1,301
Answer: B",False,,21.888070106506348
High Level Addition,7,"Question: What is the sum of 178 and 324?
Options:
A. 482
B. 502
C. 493
D. 509
Answer: B",True,"Question: What is the sum of 178 and 324?
Options:
A. 482
B. 492
C. 493
D. 509
Answer: B",36.6276490688324
High Level Addition,7,"Question: What is the sum of 543 and 289?
Options:
A. 822
B. 832
C. 837
D. 842
Answer: B",False,,21.561877012252808
High Level Addition,7,"Question: Solve the addition problem: 875 + 349
Options:
A. 1124
B. 1224
C. 1424
D. 1324
Answer: B",False,,18.93537211418152
High Level Addition,7,"Question: Which of the following represents the sum of the numbers 1,235 and 879?
Options:
A. 1,992
B. 2,114
C. 2,013
D. 2,245
Answer: B",False,,7.099860191345215
High Level Addition,7,"Question: What is the sum of 321 + 176?
Options:
A. 497
B. 489
C. 485
D. 510
Answer: A",False,,13.359363079071045
High Level Addition,7,"Question: What is the sum of 534 + 289?
Options:
A. 813
B. 823
C. 833
D. 843
Answer: B",False,,27.035337924957275
High Level Addition,7,"Question: Lisa had 457 apples, and Tim gave her some more apples. Now she has 629 apples in total. How many apples did Tim give to Lisa?
Options:
A. 162
B. 172
C. 182
D. 192
Answer: B",False,,10.65264892578125
High Level Addition,7,"Question: What is the sum of 587 and 336?
Options:
A. 913
B. 921
C. 923
D. 899
Answer: C",False,,20.26819610595703
High Level Addition,7,"Question: Which of the following addition equations is correct?
Options:
A. 134 + 59 = 183
B. 213 + 98 = 301
C. 465 + 37 = 502
D. 521 + 173 = 694
Answer: D",True,"Question: Which of the following addition equations is correct?
Options:
A. 134 + 59 = 183
B. 213 + 98 = 301
C. 465 + 37 = 502
D. 521 + 173 = 693
Answer: C",25.495682954788208
High Level Addition,7,"Question: Add the numbers 567 and 789.
Options:
A. 1,255
B. 1,356
C. 1,157
D. 1,456
Answer: B",False,,19.555453300476074
High Level Addition,7,"Question: Which sum of two large numbers is closest to 680?
Options:
A. 345 + 330
B. 410 + 260
C. 365 + 315
D. 275 + 395
Answer: C",False,,12.439522743225098
High Level Addition,7,"Question: What is the sum of 6274 and 3759?
Options:
A. 10033
B. 10212
C. 10003
D. 9500
Answer: A",False,,6.660762071609497
High Level Addition,7,"Question: What is the sum of 1325 and 4678?
Options:
A. 6000
B. 5998
C. 6003
D. 5993
Answer: C",False,,6.888790130615234
High Level Addition,7,"Question: What is the sum of 4,763 and 2,689?
Options:
A. 6,452
B. 7,442
C. 7,452
D. 7,462
Answer: C",False,,6.901185989379883
High Level Addition,7,"Question: What is the sum of 1,372 + 4,588?
Options:
A. 5,940
B. 5,960
C. 6,050
D. 6,060
Answer: B",False,,18.222859621047974
High Level Addition,7,"Question: What is the sum of 2,478 and 1,039?
Options:
A. 3,407
B. 3,517
C. 3,507
D. 3,512
Answer: B",False,,6.8270909786224365
High Level Addition,7,"Question: What will be the total sum of 4,357 and 2,682?
Options:
A. 7,029
B. 7,039
C. 6,924
D. 6,939
Answer: B",True,"Question: What will be the total sum of 4,357 and 2,682?
Options:
A. 7,029
B. 7,039
C. 6,924
D. 6,139
Answer: D",27.58543109893799
High Level Addition,7,"Question: A charity shop sold a painting for $112, a lamp for $46, and a necklace for $87. What was the total amount earned from selling the three items?
Options:
A. $245
B. $170
C. $204
D. $255
Answer: A",False,,16.390256881713867
High Level Addition,7,"Question: What is the sum of 2589 + 4130?
Options:
A. 4719
B. 6721
C. 6719
D. 5721
Answer: B",True,"Question: What is the sum of 2589 + 4130?
Options:
A. 4719
B. 6721
C. 6719
D. 5721
Answer: C",26.618816137313843
High Level Addition,7,"Question: What is the sum of 2476 + 3947?
Options:
A. 5,423
B. 6,415
C. 6,423
D. 7,415
Answer: C",False,,17.97390389442444
High Level Addition,7,"Question: Tom's Toy Store sold 7840 toys in the morning and twice that number in the afternoon. How many toys did the store sell in total?
Options:
A. 23,520
B. 17,880
C. 15,680
D. 25,680
Answer: A",False,,19.5634663105011
High Level Addition,7,"Question: What is the sum of 2,758 and 1,367?
Options:
A. 4,034
B. 4,125
C. 4,227
D. 4,319
Answer: B",False,,27.39928889274597
High Level Addition,7,"Question: What is the sum of 3,762 and 6,259?
Options:
A. 9,921
B. 10,021
C. 9,201
D. 10,112
Answer: B",False,,31.157604217529297
High Level Addition,7,"Question: Calculate the sum of 2345 and 3891.
Options:
A. 6136
B. 6236
C. 6336
D. 6436
Answer: B",False,,20.676111221313477
High Level Addition,7,"Question: Calculate the sum of 3,567 and 2,484.
Options:
A. 6,041
B. 5,951
C. 6,051
D. 6,042
Answer: C",True,"Question: Calculate the sum of 3,567 and 2,484.
Options:
A. 6,041
B. 5,951
C. 6,051
D. 6,042
Answer: A",29.66709613800049
High Level Addition,7,"Question: Refer to the numbers below and choose the correct sum.
956 + 374

Options:
A. 1,320
B. 1,310
C. 1,330
D. 1,340

Answer: C",False,,16.302223205566406
High Level Addition,7,"Question: Find the sum of the following numbers: 4,710 + 3,241 + 2,087
Options:
A. 9,638
B. 10,038
C. 11,042
D. 10,041
Answer: B",True,"Question: Find the sum of the following numbers: 4,710 + 3,241 + 2,087
Options:
A. 9,638
B. 10,038
C. 11,042
D. 10,041
Answer: A",37.134850025177
High Level Addition,7,"Question: What is the sum of 3547 and 2965?
Options:
A. 7512
B. 6512
C. 5555
D. 6608
Answer: A",False,,5.396302938461304
High Level Addition,7,"Question: What is the sum of 1,235, 2,468, and 879?
Options:
A. 4,482
B. 4,582
C. 5,582
D. 6,582
Answer: B",False,,38.78944373130798
High Level Addition,8,"Question: Find the sum of the following numbers: 123,456 + 234,567 + 345,678
Options:
A. 703,701
B. 420,444
C. 903,701
D. 490,222
Answer: A",True,"Question: Find the sum of the following numbers: 123,456 + 234,567 + 345,678
Options:
A. 703,701
B. 420,444
C. 903,701
D. 4,903,701
Answer: D",42.67262005805969
High Level Addition,8,"Question: Add the following numbers: 118, 649, 194, and 822.
Options:
A. 1783
B. 1831
C. 1723
D. 1894
Answer: A",False,,12.211879014968872
High Level Addition,8,"Question: Which of the following is the sum of 7,549 + 13,726 + 6,911?
Options:
A. 27,176
B. 27,186
C. 27,890
D. 28,186
Answer: B",True,"Question: Which of the following is the sum of 7,549 + 13,726 + 6,911?
Options:
A. 27,176
B. 16,816
C. 27,890
D. 28,186
Answer: B",30.513801336288452
High Level Addition,8,"Question: What is the sum of 2,347 + 4,839?
Options:
A. 7,176
B. 7,186
C. 7,146
D. 7,196
Answer: B",False,,8.822163820266724
High Level Addition,8,"Question: What is the sum of 567,913 and 234,567?
Options:
A. 792,480
B. 802,480
C. 691,563
D. 804,563
Answer: B",False,,27.715537786483765
High Level Addition,8,"Question: Calculate the sum of the numbers: 253, 897, 1259
Options:
A. 2409
B. 2835
C. 2408
D. 2231
Answer: A",True,"Question: Calculate the sum of the numbers: 253, 897, 1259
Options:
A. 2409
B. 2835
C. 2310
D. 2231
Answer: C",27.598026037216187
High Level Addition,8,"Question: Add the following numbers: 2713, 5826, and 3847
Options:
A. 12,386
B. 12,486
C. 13,286
D. 12,196
Answer: B",False,,12.106515169143677
High Level Addition,8,"Question: Katie adds two 4-digit numbers: 2849 and 5173. What is the sum of these numbers?
Options:
A. 3922
B. 8015
C. 8022
D. 8040
Answer: C",False,,29.594577074050903
High Level Addition,8,"Question: Calculate the sum of the following numbers: 2,735 + 4,860
Options:
A. 7,495
B. 7,595
C. 7,685
D. 7,775
Answer: B",True,"Question: Calculate the sum of the following numbers: 2,735 + 4,860
Options:
A. 7,495
B. 6,595
C. 7,685
D. 7,775
Answer: B",22.527392864227295
High Level Addition,8,"Question: Add the following numbers: 1357, 6042, and 7986.
Options:
A. 15,385
B. 16,387
C. 14,385
D. 13,387
Answer: A",False,,6.629202842712402
High Level Addition,8,"Question: What is the sum of 7895 and 2147?
Options:
A. 10,045
B. 10,042
C. 8,979
D. 10,800
Answer: B",False,,4.891124963760376
High Level Addition,8,"Question: What is the sum of 7,839 + 15,384?
Options:
A. 23,123
B. 22,223
C. 24,223
D. 25,123
Answer: B",True,,17.170681953430176
High Level Addition,8,"Question: What is the sum of 2,685 and 4,197?
Options:
A. 6,872
B. 6,882
C. 7,882
D. 10,200
Answer: B",False,,19.690162897109985
High Level Addition,8,"Question: Calculate the sum of 7,232 and 5,498.
Options:
A. 12,720
B. 12,730
C. 12,740
D. 12,750
Answer: B",False,,18.245917797088623
High Level Addition,8,"Question: What is the sum of 1235 and 3768?
Options:
A. 4003
B. 4902
C. 5003
D. 5902
Answer: D",True,"Question: What is the sum of 1235 and 3768?
Options:
A. 4003
B. 4902
C. 5003
D. 5103
Answer: D",30.41446590423584
High Level Addition,8,"Question: What is the sum of 13,458 and 8,765?
Options:
A. 21,213
B. 22,123
C. 22,223
D. 24,235
Answer: C",False,,21.225985050201416
High Level Addition,8,"Question: What is the sum of 1,235 and 2,977?
Options:
A. 3,212
B. 3,417
C. 4,202
D. 4,212
Answer: D",False,,5.855497121810913
High Level Addition,8,"Question: What is the sum of 5746 and 8391?
Options:
A. 13,017
B. 14,137
C. 15,343
D. 12,234
Answer: B",False,,26.155116081237793
High Level Addition,8,"Question: What is the sum of 2,347 + 5,398?
Options:
A. 7,645
B. 7,745
C. 8,745
D. 8,745
Answer: B",False,,21.38714909553528
High Level Addition,8,"Question: What is the sum of the following numbers: 485, 372, and 1,143?
Options:
A. 1,987
B. 2,000
C. 2,118
D. 1,950
Answer: A",True,,16.618672847747803
High Level Addition,10,"Question: What is the result of adding the following numbers: 5,327 + 8,924?
Options:
A. 15,241
B. 14,251
C. 12,321
D. 13,129
Answer: B",False,,19.468082904815674
High Level Addition,10,"Question: What is the sum of 4,521 + 2,683?
Options:
A. 6,102
B. 7,104
C. 7,204
D. 7,834
Answer: C",False,,19.660429000854492
High Level Addition,10,"Question: If 2x + 3y = 21 and 5x - y = 8, what is the value of x + y?
Options:
A. 6
B. 7
C. 8
D. 9
Answer: B",True,"Question: If 2x + 3y = 21 and 5x - y = 8, what is the value of x + y?
Options:
A. 68/9
B. 7
C. 8
D. 9
Answer: A",60.27825403213501
High Level Addition,10,"Question: What is the sum of 2,345 and 1,678?
Options:
A. 4,013
B. 4,023
C. 4,113
D. 4,123
Answer: B",True,"Question: What is the sum of 2,345 and 1,678?
Options:
A. 4,013
B. 4,023
C. 4,113
D. 5,123
Answer: D",24.622371912002563
High Level Addition,10,"Question: Calculate the sum of 3415 + 2789.
Options:
A. 6204
B. 6125
C. 6300
D. 6074
Answer: A",False,,4.9213478565216064
High Level Addition,10,"Question: Which of these expressed the operation 473 + 825 with the highest possible value for the blank digit: _73 + 8_5?
Options:
A. 573 + 805
B. 973 + 895
C. 473 + 835
D. 673 + 845
Answer: B",False,,7.551748037338257
High Level Addition,10,"Question: What is the sum of 2357 and 5683?
Options:
A. 7930
B. 8040
C. 8110
D. 8290
Answer: B",True,"Question: What is the sum of 2357 and 5683?
Options:
A. 7930
B. 8040
C. 8100
D. 8290
Answer: C",40.20207214355469
High Level Addition,10,"Question: Calculate the sum of 17254 and 12883.
Options:
A. 31037
B. 30137
C. 29037
D. 30037
Answer: B",True,"Question: Calculate the sum of 17254 and 12883.
Options:
A. 28547
B. 30137
C. 29037
D. 30037
Answer: A",27.918264150619507
High Level Addition,10,"Question: What is the sum of 2378 and 4956?
Options:
A. 7331
B. 7334
C. 7324
D. 7336
Answer: B",False,,22.32220220565796
High Level Addition,10,"Question: What is the sum of 17,849 and 5,907?
Options:
A. 22,756
B. 23,756
C. 22,666
D. 23,666
Answer: B",False,,21.21132493019104
High Level Addition,10,"Question: What is the sum of 12,385 + 9,651?
Options:
A. 21,936
B. 22,036
C. 22,136
D. 22,236
Answer: B",False,,10.082182884216309
High Level Addition,10,"Question: Calculate the sum of the two highest numbers from the following options.
Options:
A. 567 and 492
B. 832 and 416
C. 723 and 901
D. 389 and 230
Answer: C",False,,16.96538019180298
High Level Addition,10,"Question: Three friends bought comic books. Jenn bought 135 books, Kelly bought 297 and Dave bought 568 books. How many comic books did they buy in total?
Options:
A. 800
B. 970
C. 1,000
D. 1,254
Answer: C",True,"Question: Three friends bought comic books. Jenn bought 135 books, Kelly bought 297 and Dave bought 568 books. How many comic books did they buy in total?
Options:
A. 800
B. 970
C. 1,000
D. 1,254
Answer: D",15.061342239379883
High Level Addition,10,"Question: What is the sum of 3524 and 2689?
Options:
A. 6029
B. 6213
C. 5005
D. 6509
Answer: B",False,,5.407118082046509
High Level Addition,10,"Question: What is the sum of 7,850 and 11,475?
Options:
A. 18,225
B. 19,325
C. 19,525
D. 17,905
Answer: B",False,,6.586352109909058
High Level Addition,10,"Question: Calculate the sum: 3,456 + 1,987
Options:
A. 5,343
B. 5,443
C. 5,533
D. 5,633
Answer: B",False,,15.392164945602417
High Level Addition,10,"Question: Tom bought a car for $15,345 and fixed it for $2,875. Then he installed a stereo system worth $950. How much money did he spend in total?
Options:
A. $18,170
B. $17,570
C. $19,170
D. $19,570
Answer: C",False,,16.470921993255615
High Level Addition,10,"Question: Calculate the sum of 2,873 and 1,458.
Options:
A. 4,231
B. 3,900
C. 4,331
D. 5,721
Answer: C",False,,23.29667091369629
High Level Addition,10,"Question: Calculate the sum of 3,248 and 2,973.
Options:
A. 5,110
B. 6,221
C. 5,515
D. 6,211
Answer: D",False,,37.972068309783936
High Level Addition,12,"Question: Calculate the sum of 4,268, 6,021, and 121.
Options:
A. 10,390
B. 10,410
C. 10,366
D. 10,398
Answer: B",False,,19.57060408592224
High Level Addition,12,"Question: Calculate the sum of 3579 + 5621.
Options:
A. 9200
B. 6210
C. 10000
D. 30102
Answer: A",False,,23.843647003173828
High Level Addition,12,"Question: John has 12,450 books in his home library, while Mary has 7,365 books in her library. What is the combined total of books in both libraries?
Options:
A. 18,825
B. 19,815
C. 20,795
D. 21,775
Answer: B",False,,10.007585763931274
High Level Addition,12,"Question: Evaluate the following expression: (-150) + 65 + 258 + (-73)
Options:
A. 481
B. 100
C. 550
D. 380
Answer: A",True,"Question: Evaluate the following expression: (-150) + 65 + 258 + (-73)
Options:
A. 481
B. 100
C. 550
D. 380
Answer: B",15.98389720916748
High Level Addition,12,"Question: If 7a + 4b + 2c = 18 and 3a - b + 4c = 15, what is the value of 10a + 3b + 6c?
Options:
A. 33
B. 45
C. 60
D. 75
Answer: D",True,"Question: If 7a + 4b + 2c = 18 and 3a - b + 4c = 15, what is the value of 10a + 3b + 6c?
Options:
A. 33
B. 45
C. 60
D. 75
Answer: A",89.47762203216553
High Level Addition,12,"Question: Calculate the sum of 2/5 + 1/3.
Options:
A. 7/15
B. 9/15
C. 11/15
D. 1

Answer: A",True,"Question: Calculate the sum of 2/5 + 1/3.
Options:
A. 7/15
B. 9/15
C. 11/15
D. 1
Answer: C",19.68986487388611
High Level Addition,12,"Question: What is the sum of the numbers 12345, 54321, and 9876?
Options:
A. 76422
B. 76442
C. 76542
D. 76522
Answer: B",False,,11.27690601348877
High Level Addition,12,"Question: What is the sum of 12,395 + 9,275 + 6,895?
Options:
A. 28,565
B. 27,567
C. 28,467
D. 28,660
Answer: A",False,,8.191788673400879
High Level Addition,12,"Question: Solve for x: x = (2456 + 5348) + (2176 - 1390)
Options:
A. 8590
B. 9084
C. 6000
D. 9806
Answer: A",False,,11.926451921463013
High Level Addition,12,"Question: Calculate the sum of 3,562 and 7,839.
Options:
A. 12,000
B. 11,401
C. 11,290
D. 10,399
Answer: B",False,,20.173922777175903
High Level Addition,12,"Question: A band earns $6250 from selling merchandise and $13750 from concert tickets. What is their total earning?
Options:
A. $19000
B. $20000
C. $21000
D. $22000
Answer: B",False,,11.578505039215088
High Level Addition,12,"Question: What is the sum of 13,548 + 27,019?
Options:
A. 40,457
B. 40,567
C. 40,670
D. 40,277
Answer: B",False,,21.58125329017639
High Level Addition,12,"Question: Add the following numbers to find the sum: (3x²+2x-1) + (2x²-4x+7)
Options:
A. 5x²-2x+6
B. 6x²-6x+8
C. 5x²-6x+6
D. 1x²+6x-8
Answer: A",False,,17.458425045013428
High Level Addition,12,"Question: Solve for x: x + 372 = 523
Options:
A. 140
B. 151
C. 161
D. 171
Answer: B",False,,4.856051921844482
High Level Addition,12,"Question: If a company decides to add 15% to the base salary of its highest paid employee, who earns $150,000 a year, how much will the employee be paid after the increase?
Options:
A. $165,000
B. $172,500
C. $175,000
D. $180,000
Answer: B",False,,9.808465242385864
High Level Addition,12,"Question: Two trains are traveling towards each other. The first train travels at 45 mph and the second train travels at 60 mph. They are currently 525 miles apart. How long will it take for the two trains to meet?
Options:
A. 4 hours
B. 5 hours
C. 6 hours
D. 7 hours
Answer: B",False,,14.841205835342407
High Level Addition,12,"Question: In a class of 120 students, 36 students play basketball, 48 play soccer, and 22 do both. Using the inclusion-exclusion principle, how many students play either basketball or soccer, or both?
Options:
A. 62
B. 82
C. 106
D. 132
Answer: B",True,"Question: In a class of 120 students, 36 students play basketball, 48 play soccer, and 22 do both. Using the inclusion-exclusion principle, how many students play either basketball or soccer, or both?
Options:
A. 62
B. 82
C. 106
D. 132
Answer: C",22.557217121124268
High Level Addition,12,"Question: In a bookstore's annual sale, 15,328 books were sold during its first week, and 29,467 books were sold during its second week. Find the total number of books sold during the two weeks.
Options:
A. 44,795
B. 45,322
C. 40,980
D. 51,235
Answer: A",False,,10.601698160171509
High Level Addition,12,"Question: What is the sum of (9776 + 555) + (202 - 32) ?
Options:
A. 10501
B. 10537
C. 10421
D. 10051
Answer: A",False,,8.740044832229614
High Level Addition,University,"Question: Which of the following numbers is the sum of 4,705 + 7,320?
Options:
A. 12,025
B. 11,925
C. 12,125
D. 11,825
Answer: A",False,,17.914124965667725
High Level Addition,University,"Question: Two matrices, A and B, are given as A = [[3, 4], [1, 2]] and B = [[-1, 2], [1, -3]]. What is the resulting matrix, C, when A + B is computed?
Options:
A. [[2, 6], [2, -1]]
B. [[3, 5], [0, 1]]
C. [[4, 7], [2, 3]]
D. [[2, 6], [0, 5]]
Answer: A",False,,26.36205291748047
High Level Addition,University,"Question: Solve for x: x + √(x^2 + 1) = 25.
Options:
A. 12
B. 24
C. 625
D. 144
Answer: B",True,"Question: Solve for x: x + √(x^2 + 1) = 25.
Options:
A. 12
B. 24
C. 312/25
D. 144
Answer: C",32.954761028289795
High Level Addition,University,"Question: Solve the given equation: 2500 + 13x = 1237x - 3600
Options:
A. x = -3
B. x = 7
C. x = 11
D. x = 25
Answer: A",True,"Question: Solve the given equation: 2500 + 13x = 1237x - 3600
Options:
A. x = 5
B. x = 7
C. x = 11
D. x = 25
Answer: A",24.04984188079834
High Level Addition,University,"Question: Let A = (4,396), B = (2,578) and C = (5,474). What is A + B + C?
Options:
A. (12,448)
B. (10,350)
C. (14,550)
D. (11,448)
Answer: A",False,,10.464854001998901
High Level Addition,University,"Question: Evaluate the following summation: ∑(2n² + 3n + 1) from n=1 to n=4
Options:
A. 92
B. 116
C. 52
D. 130
Answer: B",True,"Question: Evaluate the following summation: ∑(2n² + 3n + 1) from n=1 to n=4
Options:
A. 92
B. 94
C. 52
D. 130
Answer: B",33.71864700317383
High Level Addition,University,"Question: Which of these options represents the sum of the given polynomials: 3x^2 + 2x + 1 and x^2 − 4x + 3?
Options:
A. 4x^2 - 2x + 4
B. 4x^2 - 6x + 4
C. 4x^2 + 3x+4
D. 4x^2 - 3x + 2
Answer: B",True,"Question: Which of these options represents the sum of the given polynomials: 3x^2 + 2x + 1 and x^2 − 4x + 3?
Options:
A. 4x^2 - 2x + 4
B. 4x^2 - 6x + 4
C. 4x^2 + 3x+4
D. 4x^2 - 3x + 2
Answer: A",35.61004710197449
High Level Addition,University,"Question: What is the sum of two complex numbers, (3+5i) + (8-3i)?
Options:
A. (11+8i)
B. (5+2i)
C. (11+2i)
D. (5+8i)
Answer: A",True,"Question: What is the sum of two complex numbers, (3+5i) + (8-3i)?
Options:
A. (11+8i)
B. (5+2i)
C. (11+2i)
D. (5+8i)
Answer: C",29.119712114334106
High Level Addition,University,"Question: What is the sum of the Fourier series representation of f(x)=cos(x) and g(x)=sin(x) over interval (-π, π)?
Options:
A. f(x)+g(x)=cos(x)+sin(x)
B. f(x)+g(x)=2cos(x)+2sin(x)
C. f(x)+g(x)=cos(2x)+sin(2x)
D. f(x)+g(x)=cos(2x)+sin(x)
Answer: A",False,,27.580965757369995
High Level Addition,University,"Question: Evaluate the following expression: 2735 + 982 + 31
Options:
A. 3536
B. 3748
C. 3627
D. 3300
Answer: B",False,,10.338692903518677
High Level Addition,University,"Question: Determine the sum of the given complex numbers.
Options:
A. (-3+2i)
B. (8-3i)
C. (2+4i)
D. (5-i)
Answer: B",False,,4.475519895553589
High Level Addition,University,"Question: Evaluate the sum: ∑(i^2) from i=1 to n, where n = 6.
Options:
A. 41
B. 91
C. 61
D. 121
Answer: B",False,,19.366310834884644
High Level Addition,University,"Question: Given the matrices A and B, what is the resulting matrix C after performing matrix addition?

A =
| 1, 2, 3 |
| 4, 5, 6 |

B =
| 2, 3, 1 |
| 5, 1, 2 |

Options:
A. | 8, 8, 8 |
| 12, 12, 12 |

B. | 3, 5, 4 |
| 9, 6, 8 |

C. | 1, 0, 2 |
| -1, 4, 4 |

D. | 0, 1, 4 |
| 1, 0, 3 |

Answer: B",False,,20.60314917564392
High Level Addition,University,"Question: Which of the following is the sum of 1543, 2389, and 1098?
Options:
A. 5030
B. 6335
C. 5029
D. 6336
Answer: A",False,,5.538142919540405
High Level Addition,University,"Question: Given the equation 5x + 3y = 16 and 3x + 2y = zen, what is the numerically correct form of zen if x = 2 and y = 3?
Options:
A. 16
B. 21
C. 13
D. 25
Answer: B",True,"Question: Given the equation 5x + 3y = 16 and 3x + 2y = zen, what is the numerically correct form of zen if x = 2 and y = 3?
Options:
A. 12
B. 21
C. 13
D. 25
Answer: A",24.282176971435547
High Level Addition,University,"Question: If the sum of three consecutive integers is x, which of the following expressions represents the middle integer?
Options:
A. (x - 1)/3
B. (x + 1)/3
C. (x - 1)/2
D. x/3
Answer: C",False,,10.09156084060669
High Level Addition,University,"Question: Two numbers have the same digits, but their positions are interchanged. If one of the numbers is 713 and their sum is 1410, what is the other number?

Options:
A. 397
B. 317
C. 671
D. 119

Answer: B",True,"Question: Two numbers have the same digits, but their positions are interchanged. If one of the numbers is 713 and their sum is 1410, what is the other number?

Options:
A. 397
B. 731
C. 671
D. 119

Answer: B",51.295910120010376
High Level Addition,University,"Question: If the sum of a 5-digit number, A, and a 4-digit number, B, equals the 5-digit number C, where C = 18356, which option presents a possible value for A and B?

Options:
A. A: 96453, B: 2573
B. A: 16711, B: 9825
C. A: 15860, B: 2496
D. A: 10201, B: 8155

Answer: C",True,"Question: If the sum of a 5-digit number, A, and a 4-digit number, B, equals the 5-digit number C, where C = 18356, which option presents a possible value for A and B?

Options:
A. A: 96453, B: 2573
B. A: 16711, B: 9825
C. A: 15860, B: 2496
D. A: 15260, B: 3096

Answer: C",38.61202788352966
High Level Addition,University,"Question: If A = 8x^2 + 7x + 2 and B = 5x^2 - 9x + 1, what is (A+B)?
Options:
A. 12x^2 - 16x + 3
B. 13x^2 - 2x + 1
C. 13x^2 - 16x + 3
D. 12x^2 - 2x + 1
Answer: C",False,,11.680564165115356
Physics,8,"Question: Dean traveled a distance of 200 meters in 40 seconds. What was his average speed?

Options:
A. 1 m/s
B. 5 m/s
C. 10 m/s
D. 20 m/s

Answer: B",False,,5.567405939102173
Physics,8,"Question: Which of the following factors affects the speed of sound through a medium?
Options:
A. Temperature
B. Color
C. Smell
D. Taste
Answer: A",False,,8.046547889709473
Physics,8,"Question: Which of the following best describes Newton's First Law of Motion?
Options:
A. Objects in motion stay in motion unless acted upon by an unbalanced force.
B. Acceleration is produced when a force acts on a mass.
C. For every action, there is an equal and opposite reaction.
D. Gravitational force between two objects depends on mass and distance.

Answer: A",False,,21.932734966278076
Physics,8,"Question: A car accelerates uniformly from rest to 20 m/s in 10 seconds. What is its acceleration?
Options:
A. 0.5 m/s²
B. 1 m/s²
C. 2 m/s²
D. 10 m/s²
Answer: C",False,,20.10622215270996
Physics,8,"Question: A car accelerates from rest to 30 m/s in 6 seconds. What is the force acting on the car if its mass is 1500 kg?
Options:
A. 5000 N
B. 7500 N
C. 10000 N
D. 9000 N
Answer: C",True,"Question: A car accelerates from rest to 30 m/s in 6 seconds. What is the force acting on the car if its mass is 1500 kg?
Options:
A. 5000 N
B. 7500 N
C. 10000 N
D. 9000 N
Answer: B",28.70624804496765
Physics,8,"Question: Which of Newton's Laws of Motion states that an object will continue its motion at a constant velocity unless acted upon by an external force?
Options:
A. First Law
B. Second Law
C. Third Law
D. The Law of Gravitation
Answer: A",False,,25.352003812789917
Physics,8,"Question: A cyclist travels at an average speed of 15 km/h for a 3-hour journey. What is the total distance covered by the cyclist during this journey?

Options:
A. 5 km
B. 45 km
C. 60 km
D. 90 km

Answer: C",False,,7.226534366607666
Physics,8,"Question: Which of the following forms of energy is associated with motion?

Options:
A. Gravitational potential energy
B. Chemical energy
C. Kinetic energy
D. Elastic potential energy

Answer: C",False,,20.66092801094055
Physics,8,"Question: Which of the following affects the speed of sound?
Options:
A. Temperature
B. Loudness
C. Pitch
D. Volume
Answer: A",False,,26.8075909614563
Physics,8,"Question: When the frequency of a sound wave increases, what happens to the pitch?
Options:
A. Pitch decreases
B. Pitch increases
C. Pitch remains the same
D. It becomes silent
Answer: B",False,,13.417820930480957
